Unnamed: 0,title,genres
6183,get out of our skies,{'science-fiction'}
6184,the octopus,"{'contemporary', 'literary-fiction', 'psychology', 'fantasy', 'novels', 'fiction', 'memoir'}"
6185,meditations,"{'history', 'biography', 'psychology', 'non-fiction', 'spirituality', 'historical', 'business', 'roman', 'reference', 'philosophy', 'fiction', 'literature', 'essays', 'unfinished', 'classics', 'religion', 'self-help', 'politics', 'memoir'}"
6186,hortus vitae,"{'literature', 'fiction', 'philosophy'}"
6187,lantijustine,"{'romance', 'literary-fiction', 'roman', 'erotica', 'classics', 'literature', 'fiction', '20th-century', 'non-fiction', 'unfinished'}"
6188,hic et hec,"{'romance', 'erotica'}"
6189,claire dalbe,"{'classics', 'fiction', '20th-century', 'school'}"
6190,un coeur simple,"{'romance', 'literary-fiction', 'classics', 'novella', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'historical-fiction', 'school', 'read-for-school', 'historical', 'college'}"
6191,edouard,"{'romance', 'history', 'biography', 'reference', 'art'}"
6192,le roman dun jeune homme pauvre,"{'classics', 'romance', '20th-century', 'novels'}"
6193,henri iii et sa cour,"{'fiction', 'american', 'history'}"
6194,ourika,"{'romance', 'literary-fiction', 'history', 'classics', 'novella', 'novels', 'literature', 'fiction', 'historical-fiction', 'short-stories', '20th-century', 'school', 'read-for-school', 'college'}"
6195,michel strogoff,"{'romance', 'adventure', 'history', 'novella', 'travel', 'historical-fiction', 'historical', 'roman', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'childrens', 'school', 'classics', 'young-adult', 'action', 'science-fiction'}"
6196,histoire de sibylle,{'romance'}
6197,saints progress,"{'history', 'writing', 'classics', 'religion', 'novels', 'philosophy', 'fiction', 'historical-fiction', 'war'}"
6198,five tales,"{'horror', 'amazon', 'short-stories', 'fiction', 'supernatural'}"
6199,successful stock speculation,{'economics'}
6200,the sense of beauty,"{'history', 'picture-books', 'writing', 'philosophy', 'fiction', 'non-fiction', 'american', 'art'}"
6201,the dope on mars,"{'short-stories', 'science-fiction', 'humor'}"
6202,the way to peace,"{'theology', 'christian'}"
6203,viriatho,"{'history', 'historical-romance', 'literature', 'fiction', 'historical-fiction', 'non-fiction', 'poetry'}"
6204,tom brown at oxford,"{'classics', 'literature', 'fiction', 'short-stories', '20th-century', 'childrens', 'school', 'historical', 'art'}"
6205,the blue germ,"{'philosophy', 'science-fiction'}"
6206,vice versa,"{'contemporary-romance', 'novels'}"
6207,the trembling of a leaf,"{'literary-fiction', 'classics', 'travel', 'sports', 'literature', 'short-stories', 'fiction', 'historical-fiction', '20th-century', 'adult', 'non-fiction', 'theology'}"
6208,hard guy,"{'short-stories', 'science-fiction', 'fiction'}"
6209,solanders radio tomb,"{'short-stories', 'fiction', 'science-fiction', 'humor'}"
6210,the book of snobs,"{'roman', 'classics', 'novels', 'literature', 'fiction', '20th-century', 'school', 'non-fiction', 'unfinished', 'historical', 'humor'}"
6211,painters sculptors and architects,"{'education', '21st-century', 'history', 'biography', 'classics', 'reference', 'fiction', 'non-fiction', 'art'}"
6212,the temple of nature,"{'history', 'classics', 'mythology', 'philosophy', 'fiction', 'science', 'poetry'}"
6213,howard pyles book of pirates,"{'adventure', 'history', 'biography', 'classics', 'reference', 'fantasy', 'fiction', 'historical-fiction', 'short-stories', 'childrens', 'young-adult', 'non-fiction', 'american', 'historical', 'art'}"
6214,the corsair king,{'fiction'}
6215,john joness dollar,"{'mystery', 'classics', 'science-fiction', 'short-stories', 'fiction'}"
6216,la femme et le pantin,"{'romance', 'roman', 'erotica', 'classics', 'novels', 'literature', 'fiction', 'short-stories', '20th-century'}"
6217,the snare,"{'romance', 'contemporary', 'historical-romance', 'fiction', 'contemporary-romance', 'non-fiction'}"
6218,rock of ages,"{'mystery', 'novels', 'fiction', 'adult-fiction', 'thriller'}"
6219,night bombing with the bedouins,"{'adventure', 'war', 'history'}"
6220,the clue of the twisted candle,"{'romance', 'crime', 'christmas', 'mystery', 'classics', 'novella', 'mystery-thriller', 'novels', 'fiction', '20th-century', 'thriller', 'adult', 'drama', 'historical'}"
6221,the bronze age in ireland,"{'classics', 'history', 'non-fiction'}"
6222,omega the man,"{'fiction', '21st-century'}"
6223,the sword and the atopen,"{'short-stories', 'war', 'science-fiction'}"
6224,the pools of silence,"{'adventure', 'historical-fiction'}"
6225,over the teacups,"{'fiction', 'non-fiction'}"
6226,the rat racket,{'science-fiction'}
6227,the new avatar,"{'paranormal', 'fantasy', 'sports', 'young-adult', 'american'}"
6228,nineteenth century,"{'history', 'feminism', 'biography', 'classics', 'reference', 'philosophy', 'fiction', 'politics', '20th-century', 'essays', 'literature', 'non-fiction', 'read-for-school', 'american', 'historical'}"
6229,the rover boys in alaska,"{'historical-fiction', 'childrens'}"
6230,age of cattle by teeth,{'reference'}
6231,northern lights,"{'romance', 'contemporary', 'crime', 'mystery', 'suspense', 'chick-lit', 'mystery-thriller', 'novels', 'fiction', 'romantic-suspense', 'adult-fiction', 'thriller', 'contemporary-romance', 'adult', 'unfinished', 'drama'}"
6232,the jameson satellite,"{'science-fiction', 'modern', 'literature', 'short-stories', 'fiction'}"
6233,the cornwall coast,{'travel'}
6234,nan sherwood at pine camp,"{'mystery', 'classics', 'fiction', 'short-stories', 'historical-fiction', 'young-adult', 'historical'}"
6235,crooked trails and straight,"{'fiction', '20th-century'}"
6236,a guerra,"{'history', 'classics', 'self-help', 'psychology', 'reference', 'philosophy', 'fiction', 'politics', 'war', 'literature', 'adult', 'non-fiction', 'unfinished', 'historical', 'business'}"
6237,zehru of xollar,"{'short-stories', 'science-fiction'}"
6238,spectra,"{'romance', 'erotica', 'suspense', 'fantasy', 'paranormal', 'magic', 'fiction', 'love', 'novels', 'vampires', 'relationships', 'supernatural', 'new-adult', 'urban-fantasy', 'paranormal-romance'}"
6239,the new education,"{'education', 'sociology', 'psychology', 'fiction', 'politics', 'science', 'non-fiction'}"
6240,greyfriars bobby,"{'history', 'biography', 'classics', 'animals', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'non-fiction', 'historical'}"
6241,over the top with the th,"{'history', 'biography', 'novels', 'fiction', 'memoir', 'young-adult', 'non-fiction', 'read-for-school', 'humor'}"
6242,visions and revisions,"{'fiction', 'essays', 'non-fiction'}"
6243,the gallery,"{'middle-grade', 'history', 'teen', 'mystery', 'mystery-thriller', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'historical', 'art'}"
6244,a syllabus of kentucky folksongs,{'non-fiction'}
6245,esoteric christianity,"{'christian', 'history', 'classics', 'religion', 'self-help', 'science-fiction', 'reference', 'mythology', 'philosophy', 'non-fiction', 'unfinished', 'theology', 'spirituality'}"
6246,richard i,"{'romance', 'middle-grade', 'history', 'biography', 'novels', 'fiction', 'politics', '20th-century', 'non-fiction', 'read-for-school', 'historical'}"
6247,i and my chimney,"{'classics', 'literature', 'fiction', 'short-stories', '20th-century', 'historical-fiction', 'american', 'historical', 'humor'}"
6248,atalantis major,"{'history', 'classics', 'fiction', 'politics', 'essays', 'humor'}"
6249,wanted fearless engineers,"{'science-fiction', 'short-stories', 'fiction', '20th-century', 'non-fiction'}"
6250,the beautiful,"{'history', 'biography', 'fiction', 'unfinished', 'memoir', 'music', 'non-fiction', 'adult', 'poetry', 'art'}"
6251,le vaisseau fantme,"{'romance', 'history', 'classics', 'fantasy', 'mythology', 'fiction', 'read-for-school', 'music', 'school', 'drama', 'poetry', 'plays', 'college', 'art'}"
6252,the magic soap bubble,"{'fiction', 'childrens', 'fantasy'}"
6253,modern women,"{'education', 'history', 'biography', 'feminism', 'writing', 'fiction', 'politics', 'historical-fiction', 'adult', 'non-fiction', 'historical'}"
6254,jeff briggss love story,"{'romance', 'fiction', 'comedy'}"
6255,humorous ghost stories,"{'horror', 'history', 'mystery', 'classics', 'supernatural', 'paranormal', 'fantasy', 'novels', 'short-stories', 'fiction', 'comedy', 'speculative-fiction', 'american', 'humor'}"
6256,jessie carlton,"{'fiction', 'mystery'}"
6257,alien offer,"{'classics', 'short-stories', 'science-fiction'}"
6258,star mother,{'fantasy'}
6259,elsie venner,"{'romance', 'horror', 'mystery', 'classics', 'religion', 'science-fiction', 'novels', 'fiction', 'realistic-fiction', 'historical-fiction', 'science', 'american'}"
6260,libro della divina dottrina,"{'christian', 'history', 'biography', 'classics', 'religion', 'philosophy', 'fiction', 'historical-fiction', 'school', 'non-fiction', 'theology', 'spirituality'}"
6261,wilsons tales of the borders,"{'classics', 'fiction', 'historical'}"
6262,briefe aus dem gefngnis,"{'history', 'biography', 'classics', 'philosophy', 'politics', 'non-fiction', 'historical'}"
6263,a place in the sun,"{'romance', 'contemporary', 'travel', 'chick-lit', 'fiction', 'love', 'adult-fiction', 'comedy', 'contemporary-romance', 'adult', 'new-adult', 'humor'}"
6264,the coming of the ice,"{'science-fiction', 'psychology', 'mythology', 'short-stories', 'science', 'theology'}"
6265,summer snow storm,"{'short-stories', 'science-fiction'}"
6266,utopia,"{'history', 'historical-fiction', 'dystopia', 'non-fiction', 'speculative-fiction', 'historical', 'college', 'fantasy', 'novels', 'literature', 'fiction', 'philosophy', '20th-century', 'essays', 'school', 'adult', 'read-for-school', 'sociology', 'classics', 'religion', 'politics', 'economics', 'science-fiction'}"
6267,die theorie des romans,"{'writing', 'sociology', 'classics', 'reference', 'novels', 'philosophy', 'fiction', 'literature', 'politics', 'essays', '20th-century', 'read-for-school', 'non-fiction', 'unfinished', 'college', 'art'}"
6268,hesters counterpart,"{'short-stories', 'childrens'}"
6269,sangre y arena,"{'romance', 'classics', 'novella', 'novels', 'literature', 'fiction', 'historical-fiction', 'school'}"
6270,the ghost girl,"{'crime', 'biography', 'fiction', 'politics', 'memoir', 'school', 'non-fiction'}"
6271,amor de salvao,"{'romance', 'classics', 'literature', 'fiction', '20th-century'}"
6272,b c ,"{'history', 'biography', 'suspense', 'historical-fiction', 'non-fiction', 'historical', 'horror', 'mystery', 'high-school', 'mystery-thriller', 'novels', 'literature', 'fiction', '20th-century', 'school', 'adult', 'read-for-school', 'american', 'crime', 'classics', 'thriller', 'drama'}"
6273,the copper princess,"{'romance', 'history', 'mystery', 'fiction', 'non-fiction'}"
6274,what the moon saw and other tales,"{'classics', 'novella', 'fantasy', 'fiction', 'short-stories', 'childrens'}"
6275,jewish children,"{'history', 'classics', 'religion', 'novels', 'short-stories', 'historical-fiction', 'fiction', 'childrens', 'unfinished', 'humor'}"
6276,the pioneer west,"{'history', 'non-fiction'}"
6277,the farmer boy,"{'picture-books', 'history', 'classics', 'animals', 'fiction', 'childrens', 'poetry', 'historical'}"
6278,hellhounds of the cosmos,"{'horror', 'classics', 'science-fiction', 'fantasy', 'novels', 'short-stories', 'fiction', '20th-century', 'speculative-fiction'}"
6279,point de lendemain,"{'read-for-school', 'school'}"
6280,the lions skin,"{'romance', 'adventure', 'classics', 'novels', 'fiction', 'historical-fiction', 'adult', 'unfinished', 'historical'}"
6281,the path of dreams,"{'romance', 'contemporary', 'religion', 'fantasy', 'literature', 'fiction'}"
6282,interviews ,"{'contemporary', 'adventure', 'middle-grade', 'novella', 'science-fiction', 'family', 'fantasy', 'sports', 'speculative-fiction', 'fiction', 'short-stories', 'death', 'childrens', 'young-adult', 'dystopia', 'thriller', 'science'}"
6283,entretiens ,"{'education', 'history', 'classics', 'religion', 'reference', 'mythology', 'philosophy', 'fiction', 'literature', 'politics', 'school', 'non-fiction', 'read-for-school', 'spirituality', 'historical', 'college'}"
6284,entrevistas ,"{'21st-century', 'novella', 'fiction', 'young-adult', 'school', 'drama', 'college'}"
6285,le livre  tome  ,{'philosophy'}
6286,the day time stopped moving,"{'short-stories', 'american', 'science-fiction', 'fiction'}"
6287,louis xiv,"{'romance', 'history', 'biography', 'fiction', '20th-century', 'non-fiction', 'unfinished', 'historical'}"
6288,ireland and poland,"{'history', 'non-fiction'}"
6289,the hero,"{'romance', 'adventure', 'teen', 'novella', 'mythology', 'contemporary', 'fantasy', 'novels', 'fiction', 'childrens', 'unfinished', 'humor', 'paranormal', 'short-stories', 'young-adult', 'urban-fantasy', 'middle-grade', 'action', 'magic'}"
6290,dulce y sabrosa,"{'fiction', 'novels'}"
6291,method of managing bees,"{'history', 'animals', 'fiction', '20th-century', 'science'}"
6292,sonnets from the crimea,"{'crime', 'classics', 'high-school', 'modern', 'literature', 'fiction', '20th-century', 'school', 'read-for-school', 'poetry'}"
6293,abortion in new zealand,"{'history', 'non-fiction'}"
6294,the third miss symons,"{'literary-fiction', 'classics', 'novella', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'non-fiction'}"
6295,the flying doctor,"{'drama', 'classics', 'fiction', '20th-century', 'read-for-school', 'plays'}"
6296,the jealousy of le barbouill,"{'classics', 'literature', 'fiction', '20th-century', 'drama', 'plays', 'humor'}"
6297,jonah and co,"{'adventure', 'crime', 'mystery', 'classics', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'historical', 'humor'}"
6298,columba,"{'middle-grade', 'history', 'travel', 'novels', 'fiction', 'historical-fiction', '20th-century', 'spirituality', 'historical'}"
6299,the subjection of women,"{'history', 'feminism', 'sociology', 'classics', 'reference', 'philosophy', 'fiction', 'politics', '20th-century', 'essays', 'school', 'non-fiction', 'read-for-school', 'economics', 'historical', 'college'}"
6300,rootabaga stories,"{'classics', 'fantasy', 'literature', 'short-stories', 'fiction', 'childrens', 'poetry', 'american', 'theology', 'humor'}"
6301,the risk profession,"{'crime', 'mystery', 'science-fiction', 'sports', 'short-stories', 'fiction', 'humor'}"
6302,foma gordyeff,"{'romance', 'roman', 'classics', 'novella', 'psychology', 'novels', 'literature', 'fiction', 'historical-fiction', 'philosophy', '20th-century', 'read-for-school'}"
6303,great pirate stories,"{'adventure', 'history', 'action', 'short-stories', 'fiction', 'historical-fiction', 'historical'}"
6304,black beauty,"{'adventure', 'middle-grade', 'classics', 'animals', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'school', 'realistic-fiction', 'drama', 'historical'}"
6305,louise de la valliere,"{'history', 'non-fiction'}"
6306,historia de una parisiense,{'romance'}
6307,john randolph tucker,{'biography'}
6308,the little russian servant,{'fiction'}
6309,the eternal wall,"{'short-stories', 'science-fiction', 'dystopia', 'fiction'}"
6310,childrens books and illustrators,"{'reference', 'writing', 'non-fiction'}"
6311,voyage to india,"{'romance', 'contemporary', '21st-century', 'literature', 'fiction', 'poetry'}"
6312,a drift from redwood camp,"{'fiction', 'adventure'}"
6313,mi tio y mi cura,"{'classics', 'fiction'}"
6314,de negerhut,"{'literary-fiction', 'history', 'historical-fiction', 'historical', 'college', 'high-school', 'novels', 'literature', 'fiction', '20th-century', 'school', 'adult', 'read-for-school', 'unfinished', 'american', 'christian', 'classics', 'adult-fiction', 'politics', 'young-adult', 'drama'}"
6315,no breakfast,{'non-fiction'}
6316,lyrics,"{'contemporary', 'literary-fiction', '21st-century', 'romance', 'history', 'family', 'novels', 'literature', 'fiction', 'historical-fiction', 'love', 'adult', 'relationships', 'american', 'historical'}"
6317,histoire du canada,"{'20th-century', 'history', 'school'}"
6318,six days,"{'contemporary', 'adventure', 'crime', 'mystery', 'classics', 'suspense', 'action', 'modern', 'mystery-thriller', 'novels', 'psychology', 'fiction', 'adult-fiction', 'love', 'thriller', 'adult', 'drama', 'dark'}"
6319,long live the king,"{'mystery', 'historical-romance', 'novels', 'fiction', 'historical-fiction', '20th-century', 'unfinished'}"
6320,contes dandersen,"{'adventure', 'middle-grade', 'picture-books', 'classics', 'reference', 'fantasy', 'mythology', 'literature', 'fiction', 'short-stories', '20th-century', 'childrens', 'young-adult', 'magic', 'theology'}"
6321,the cavern of the shining ones,"{'short-stories', 'adventure', 'science-fiction', 'fantasy'}"
6322,penny of top hill trail,{'childrens'}
6323,a visit to java,"{'fiction', 'history'}"
6324,fior di passione,{'short-stories'}
6325,suspended judgments,{'essays'}
6326,among the camanches and apaches,"{'history', 'biography', 'non-fiction'}"
6327,captain jim,"{'mystery', 'classics', 'fiction', '20th-century', 'childrens', 'young-adult', 'non-fiction', 'historical'}"
6328,bad childs book of beasts,"{'classics', 'animals', 'fiction', 'childrens', 'poetry', 'humor'}"
6329,more beasts for worse children,"{'picture-books', 'philosophy', 'fiction', '20th-century', 'childrens', 'poetry', 'humor'}"
6330,laments,"{'christian', 'biography', 'classics', 'religion', 'death', 'psychology', 'philosophy', 'fiction', 'memoir', 'poetry', 'non-fiction', 'relationships', 'theology', 'spirituality', 'school'}"
6331,the wooden horse,"{'history', 'biography', 'roman', 'classics', 'novels', 'fiction', 'historical-fiction', 'war', '20th-century', 'memoir', 'non-fiction', 'historical'}"
6332,more peers verses,"{'fiction', 'poetry', 'humor'}"
6333,the wonder,"{'contemporary', 'literary-fiction', 'history', 'mystery', 'religion', 'family', 'mystery-thriller', 'novels', 'literature', 'fiction', 'historical-fiction', 'adult-fiction', 'thriller', '20th-century', 'adult', 'drama', 'historical'}"
6334,bethink yourselves,"{'literary-fiction', 'sports', 'historical-fiction', 'non-fiction', 'theology', 'historical', 'novels', 'philosophy', 'fiction', '20th-century', 'essays', 'christian', 'sociology', 'classics', 'religion', 'short-stories', 'politics', 'war', 'death'}"
6335,the enjoyment of art,"{'philosophy', 'art', 'non-fiction'}"
6336,the explorer,"{'contemporary', 'adventure', 'middle-grade', 'picture-books', 'animals', 'travel', 'novels', 'amazon', 'fiction', 'historical-fiction', 'realistic-fiction', 'childrens', 'young-adult', 'school', 'non-fiction', 'coming-of-age', 'historical'}"
6337,japanese prints,"{'history', 'reference', 'philosophy', 'fiction', 'non-fiction', 'art'}"
6338,an open letter on translating,"{'christian', 'history', 'writing', 'classics', 'religion', 'philosophy', 'fiction', 'essays', 'non-fiction', 'theology', 'spirituality', 'art'}"
6339,fairy tales of hans andersen,"{'picture-books', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'short-stories', '20th-century', 'childrens', 'young-adult', 'magic'}"
6340,wagner the wehrwolf,"{'horror', 'history', 'mystery', 'classics', 'fantasy', 'mystery-thriller', 'paranormal', 'fiction', 'historical-fiction', '20th-century', 'speculative-fiction', 'unfinished', 'supernatural', 'urban-fantasy'}"
6341,self mastery,"{'self-help', 'psychology', 'fiction', 'non-fiction', 'spirituality'}"
6342,the la chance mine mystery,"{'classics', 'mystery', 'fiction', 'novels'}"
6343,eric brighteyes,"{'adventure', 'classics', 'fantasy', 'mythology', 'novels', 'fiction', 'historical-fiction', 'literature', '20th-century', 'speculative-fiction', 'unfinished', 'historical', 'urban-fantasy'}"
6344,the life of the party,"{'fiction', 'american'}"
6345,the heart of nature,{'art'}
6346,morning star,"{'contemporary', 'romance', 'adventure', 'teen', 'travel', 'chick-lit', 'fiction', 'realistic-fiction', 'young-adult', 'new-adult', 'lgbt'}"
6347,the tin box,"{'contemporary', 'romance', 'history', 'erotica', 'mystery', 'historical-romance', 'fiction', 'historical-fiction', '20th-century', 'contemporary-romance', 'adult', 'historical', 'dark', 'lgbt'}"
6348,eyebright,"{'classics', 'fiction', 'historical-fiction', 'childrens', 'young-adult', 'historical'}"
6349,the writing of the short story,"{'short-stories', 'reference', 'writing', 'non-fiction'}"
6350,a womans will,"{'christian', 'feminism', 'biography', 'sociology', 'religion', 'self-help', 'psychology', 'philosophy', 'fiction', 'adult-fiction', 'adult', 'non-fiction', 'relationships', 'spirituality'}"
6351,moon lore,"{'religion', 'reference', 'mythology', 'fiction', 'non-fiction', 'magic', 'spirituality'}"
6352,a first family of tasajara,"{'fiction', 'american'}"
6353,the white mice,"{'classics', 'fiction'}"
6354,woodworking tools ,"{'history', 'non-fiction'}"
6355,pyrrhus,"{'romance', 'literary-fiction', 'history', 'feminism', 'classics', 'fantasy', 'mythology', 'novels', 'fiction', 'historical-fiction', 'literature', 'adult', 'non-fiction', 'historical', 'lgbt'}"
6356,red pepper burns,"{'romance', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', 'historical'}"
6357,what i saw in america,"{'christian', 'history', 'biography', 'classics', 'religion', 'travel', 'philosophy', 'fiction', 'politics', '20th-century', 'essays', 'memoir', 'non-fiction', 'spirituality', 'american'}"
6358,some say,{'romance'}
6359,impressions in andalusia,"{'history', 'biography', 'classics', 'travel', 'fiction', 'short-stories', 'essays', 'memoir', 'non-fiction'}"
6360,the discovery of america,"{'history', 'reference', 'literature', 'fiction', 'non-fiction', 'american'}"
6361,eight cousins,"{'classics', 'fiction', 'historical-fiction', 'childrens'}"
6362,east of suez,"{'classics', 'sports', 'short-stories', 'fiction', 'supernatural'}"
6363,fantazius mallare,"{'adventure', 'horror', 'classics', 'suspense', 'fantasy', 'novels', 'literature', 'fiction', 'drama', 'american', 'historical', 'humor'}"
6364,william shakespeare,"{'contemporary', '21st-century', 'teen', 'classics', 'chick-lit', 'fiction', 'comedy', 'young-adult', 'school', 'non-fiction', 'drama', 'poetry', 'american', 'plays', 'humor'}"
6365,la russie en ,{'non-fiction'}
6366,margot la ravaudeuse,"{'fiction', '20th-century', 'erotica'}"
6367,allans wife,"{'romance', 'adventure', 'classics', 'science-fiction', 'fantasy', 'novels', 'mystery-thriller', 'fiction', 'historical-fiction', '20th-century', 'thriller', 'young-adult', 'short-stories'}"
6368,judas,"{'contemporary', 'literary-fiction', '21st-century', 'romance', 'history', 'drama', 'roman', 'religion', 'novella', 'novels', 'literature', 'fiction', 'historical-fiction', 'politics', 'relationships', 'unfinished', 'historical'}"
6369,little brothers of the air,{'non-fiction'}
6370,life of trust,"{'christian', 'history', 'biography', 'classics', 'religion', 'fiction', 'memoir', 'non-fiction', 'unfinished', 'theology', 'spirituality'}"
6371,a tale of three lions,"{'romance', 'adventure', 'classics', 'science-fiction', 'short-stories', 'fiction', 'historical-fiction', 'thriller', 'speculative-fiction', 'historical'}"
6372,kauneuden kirous,"{'fiction', 'novella'}"
6373,amparo,"{'romance', 'contemporary', 'crime', 'mystery', 'suspense', 'action', 'family', 'chick-lit', 'mystery-thriller', 'fiction', 'romantic-suspense', 'thriller', 'contemporary-romance', 'adult', 'childrens', 'drama'}"
6374,nothing to say,"{'fiction', '20th-century', 'non-fiction'}"
6375,the smalcald articles,"{'christian', 'history', 'classics', 'religion', 'philosophy', 'fiction', 'essays', 'non-fiction', 'theology'}"
6376,long odds,"{'romance', 'adventure', 'classics', 'science-fiction', 'short-stories', 'fiction', '20th-century', 'thriller', 'young-adult', 'speculative-fiction', 'historical'}"
6377,the young adventurer,"{'romance', 'fantasy'}"
6378,the last american,"{'contemporary', 'adventure', 'history', 'biography', 'sociology', 'travel', 'novels', 'philosophy', 'fiction', 'unfinished', 'literature', '20th-century', 'memoir', 'adult', 'non-fiction', 'school', 'spirituality', 'american'}"
6379,les posies de sapho de lesbos,"{'romance', 'history', 'feminism', 'classics', 'mythology', 'literature', 'fiction', 'philosophy', 'school', 'non-fiction', 'adult', 'poetry', 'historical', 'lgbt'}"
6380,reis naar de maan in  dagen,"{'romance', 'adventure', 'roman', 'classics', 'novella', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'science', 'travel', 'speculative-fiction', 'historical'}"
6381,the christmas books,"{'literary-fiction', 'horror', 'christmas', 'classics', 'fantasy', 'novels', 'literature', 'fiction', 'short-stories', 'historical-fiction', '20th-century', 'childrens', 'adult', 'paranormal', 'philosophy', 'theology', 'historical'}"
6382,chronica de elrei d sancho ii,{'history'}
6383,nero,"{'romance', 'contemporary', 'crime', 'erotica', 'mystery', 'suspense', 'action', 'high-school', 'fiction', 'love', 'dark', 'young-adult', 'contemporary-romance', 'adult', 'drama', 'new-adult'}"
6384,le japon,"{'horror', 'history', 'crime', 'mythology', 'essays', 'manga'}"
6385,gospel sermon on blessed hope,"{'christian', 'classics', 'religion', 'fiction', 'non-fiction'}"
6386,the cheerful smugglers,"{'fiction', 'humor'}"
6387,fairy book,"{'romance', 'middle-grade', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'short-stories', '20th-century', 'childrens', 'young-adult', 'amazon', 'non-fiction', 'theology'}"
6388,my swords my fortune,"{'fiction', 'historical-fiction'}"
6389,three women,"{'contemporary', 'romance', 'feminism', 'biography', 'sociology', 'psychology', 'novels', 'fiction', 'love', 'memoir', 'adult', 'non-fiction', 'relationships', 'american'}"
6390,the pagan madonna,"{'adventure', 'mystery', 'classics', 'religion', 'literature', 'fiction', '20th-century', 'spirituality'}"
6391,athalie,"{'romance', 'classics', 'literature', 'fiction', 'read-for-school', '20th-century', 'drama', 'plays'}"
6392,the faithful promiser,"{'theology', 'christian', 'non-fiction'}"
6393,appearances,"{'romance', 'christian', 'historical-romance', 'fiction', 'historical-fiction', 'realistic-fiction', 'non-fiction', 'historical'}"
6394,the golden dog,"{'classics', 'animals', 'novels', 'fiction', 'read-for-school'}"
6395,shapes that haunt the dusk,"{'horror', 'classics', 'short-stories', 'fiction', 'american'}"
6396,indian conjuring,"{'magic', 'non-fiction'}"
6397,archaeological essays vol ,"{'history', 'essays', 'science', 'non-fiction'}"
6398,the landing of the pilgrims,"{'education', 'middle-grade', 'christian', 'history', 'biography', 'fiction', 'historical-fiction', 'childrens', 'young-adult', 'school', 'non-fiction', 'read-for-school', 'american', 'historical'}"
6399,olocausto,"{'romance', 'history', 'classics', 'novella', 'novels', 'literature', 'fiction', 'historical-fiction', 'war', '20th-century', 'non-fiction', 'drama', 'historical'}"
6400,the champdoce mystery,"{'crime', 'mystery', 'classics', 'historical-romance', 'mystery-thriller', 'novels', 'fiction', '20th-century'}"
6401,burl,"{'adventure', 'science-fiction', 'family', 'novels', 'literature', 'fiction', 'love', 'unfinished', 'childrens', 'drama'}"
6402,a filha do arcediago,"{'romance', 'classics'}"
6403,tales of space and time,"{'romance', 'adventure', 'history', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'short-stories', 'amazon', '20th-century', 'speculative-fiction', 'theology', 'american'}"
6404,a journey in russia in ,"{'history', 'travel'}"
6405,the cult of incompetence,"{'philosophy', 'politics', 'non-fiction'}"
6406,spasimo,{'classics'}
6407,if winter dont,{'classics'}
6408,a little maid,"{'classics', 'fiction', 'historical-fiction', 'childrens', 'young-adult', 'non-fiction', 'historical'}"
6409,the story of the heavens,"{'science', 'non-fiction'}"
6410,histoire du consulat,"{'history', 'non-fiction'}"
6411,the sequel,"{'contemporary', 'novella', 'high-school', 'fantasy', 'fiction', 'young-adult', 'non-fiction'}"
6412,master of none,"{'21st-century', 'feminism', 'science-fiction', 'fantasy', 'amazon', 'fiction', 'historical-fiction', 'dystopia', 'speculative-fiction', 'relationships'}"
6413,the regents daughter,"{'romance', 'adventure', 'history', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'young-adult', 'drama', 'american', 'historical'}"
6414,the conspirators,{'fiction'}
6415,house of john procter,"{'fiction', 'history', 'non-fiction'}"
6416,more letters of charles darwin,"{'biography', 'history', 'science'}"
6417,lease to doomsday,"{'classics', 'science-fiction', 'short-stories', 'fiction', 'humor'}"
6418,medal of honor,"{'history', 'non-fiction'}"
6419,the slave of silence,{'classics'}
6420,de wonderstraal,"{'classics', 'science-fiction'}"
6421,the martian,"{'contemporary', 'adventure', 'suspense', 'science-fiction', 'fantasy', 'novels', 'fiction', 'adult-fiction', 'science', 'thriller', 'adult', 'speculative-fiction', 'drama', 'american', 'humor'}"
6422,the borgias,"{'romance', 'crime', 'history', 'biography', 'classics', 'historical-romance', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'non-fiction', 'historical'}"
6423,travels in france,"{'romance', 'history', 'non-fiction', 'classics', 'travel', 'economics'}"
