Unnamed: 0,title,genres
146,agnes,"{'contemporary', 'literary-fiction', 'romance', '21st-century', 'drama', 'roman', 'classics', 'novella', 'novels', 'literature', 'fiction', 'love', '20th-century', 'school', 'adult', 'read-for-school'}"
147,persuasion,"{'romance', 'literary-fiction', 'classics', 'historical-romance', 'chick-lit', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'love', 'adult', 'school', 'historical'}"
148,dark lady of the sonnets,"{'history', 'classics', 'novels', 'literature', 'fiction', 'comedy', '20th-century', 'drama', 'plays'}"
149,romance de lobos comedia barbara,"{'classics', 'fiction', '20th-century', 'school', 'drama'}"
150,mary erzaehlung,"{'classics', 'novella', 'fiction', '20th-century', 'drama', 'plays'}"
151,sartor resartus,"{'contemporary', 'literary-fiction', 'history', 'classics', 'religion', 'novels', 'philosophy', 'fiction', 'literature', '20th-century', 'politics', 'essays', 'school', 'non-fiction', 'read-for-school', 'poetry', 'comedy', 'humor'}"
152,inaugural presidential address,"{'history', 'picture-books', 'biography', 'classics', 'reference', 'politics', 'essays', 'childrens', 'non-fiction', 'american'}"
153,het portret van dorian gray,"{'literary-fiction', 'historical-fiction', 'historical', 'horror', 'mystery', 'fantasy', 'novels', 'literature', 'fiction', 'philosophy', '20th-century', 'adult', 'school', 'read-for-school', 'classics', 'paranormal', 'adult-fiction', 'drama', 'lgbt'}"
154,mercy philbricks choice,{'fiction'}
155,step by step,"{'adventure', 'biography', 'travel', 'fiction', 'memoir', 'non-fiction'}"
156,the compleat cook,"{'20th-century', 'history', 'non-fiction'}"
157,alcestis,"{'romance', 'literary-fiction', 'history', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'historical-fiction', 'adult-fiction', 'novels', 'speculative-fiction', 'american', 'historical', 'lgbt'}"
158,hyacinth,"{'contemporary', 'literary-fiction', 'drama', 'mystery', 'suspense', 'family', 'chick-lit', 'mystery-thriller', 'literature', 'fiction', 'adult-fiction', 'realistic-fiction', 'amazon', 'young-adult', 'childrens', 'relationships', 'coming-of-age'}"
159,the sea lions,"{'picture-books', 'animals', 'classics', 'fantasy', 'childrens', 'young-adult'}"
160,so runs the world,"{'literary-fiction', 'fiction', 'non-fiction'}"
161,old english plays,{'plays'}
162,marie antoinette,"{'romance', '21st-century', 'history', 'biography', 'feminism', 'fiction', 'historical-fiction', '20th-century', 'politics', 'memoir', 'adult', 'non-fiction', 'unfinished', 'historical'}"
163,johnny crows party,"{'picture-books', 'animals', 'fiction', 'childrens', 'poetry', 'humor'}"
164,the last of the foresters,"{'adventure', 'history', 'biography', 'fiction', 'historical-fiction', 'war', 'short-stories', 'non-fiction', 'historical'}"
165,fine feathers,"{'romance', 'historical-romance', 'historical'}"
166,friends in need,{'childrens'}
